Operation,Speed_R,Memory_R,Speed_Python,Memory_Python,Speed_Julia,Memory_Julia
Generic loop,0.0031,0.078,0.26,93.7,,
Vectorized loop,0.0028,0.12,0.00042,93.7,,
Matrix multiplication,0.42,2,0.041,135,,
Matrix inversion,0.49,10,0.013,146.2,,
Linear regression package,0.019,3.7,0.062,144.5,,
Linear regression scratch,0.01,1.4,0.00092,145.7,,
SVM package,0.019,0.27,2.54,133.9,,
SVM scratch,0.35,10.8,0.005,130.1,,
Bootstrap package,4.7,202.2,1.87,43.8,,
Bootstrap scratch,3.8,122.7,1.6,1282,,