Algorithm,n,Time,Memory
loop_sum,100,1.70150087797083e-06,0.0146713256835938
loop_geom_mean,100,3.23900894727558e-06,0.028167724609375
vectorized_geom_mean,100,2.62400135397911e-06,0.0008087158203125
matrix_multiplication,100,1.90649734577164e-06,0.0008087158203125
matrix_inversion,100,1.0413998097647e-05,0.0027923583984375
linear_regression_package,100,0.000229189998208312,0.13494873046875
linear_regression_base,100,3.70229972759262e-05,0.0295867919921875
bootstrap_package,100,0.000689291999151465,0.441429138183594
bootstrap_base,100,0.000243355501879705,0.283599853515625
svm_package,100,0.000355572501575807,0.425140380859375
svm_base,100,0.00228181400234462,0.162574768066406
Metropolis_Hastings,100,0.000588104001508327,0.543777465820312
MCMC_stan,100,0.00840477450037724,1.46377563476562
loop_sum,1000,1.13570058601908e-05,0
loop_geom_mean,1000,2.51330056926236e-05,0
vectorized_geom_mean,1000,8.22050060378388e-06,0.0076751708984375
matrix_multiplication,1000,1.25869992189109e-05,0.00737762451171875
matrix_inversion,1000,4.33779969171155e-05,0.0231399536132812
linear_regression_package,1000,0.000553069497982506,0.617568969726562
linear_regression_base,1000,0.000220477500988636,0.256179809570312
bootstrap_package,1000,0.00255190149982809,2.06634521484375
bootstrap_base,1000,0.00203759750002064,1.39898681640625
svm_package,1000,0.000460368501080666,0.0526885986328125
svm_base,1000,0.0105735105025815,0
Metropolis_Hastings,1000,0.00515052250193548,3.10563659667969
MCMC_stan,1000,0.0229416319998563,1.45169067382812
loop_sum,10000,0.000110310498712352,0
loop_geom_mean,10000,0.000255061000643764,0
vectorized_geom_mean,10000,6.51285008643754e-05,0.0763397216796875
matrix_multiplication,10000,0.000393210502807051,0.0763397216796875
matrix_inversion,10000,0.000707188501110068,0.232566833496094
linear_regression_package,10000,0.00388608250068501,6.19358825683594
linear_regression_base,10000,0.0020847270025115,2.52210998535156
bootstrap_package,10000,0.0279011354978138,19.4831085205078
bootstrap_base,10000,0.0264758729972527,13.9886322021484
svm_package,10000,0.00104347050364595,0.186569213867188
svm_base,10000,0.0294612675024837,0
Metropolis_Hastings,10000,0.0507453310019628,30.1909255981445
MCMC_stan,10000,0.128144208505546,8.80824279785156
loop_sum,1e+05,0.00112044800334843,0
loop_geom_mean,1e+05,0.00252389850356849,0
vectorized_geom_mean,1e+05,0.00055796899687266,0.762985229492188
matrix_multiplication,1e+05,0.0110906435002107,0.761886596679688
matrix_inversion,1e+05,0.0188636490020144,2.29662322998047
linear_regression_package,1e+05,0.0386280680031632,61.6569061279297
linear_regression_base,1e+05,0.0214480840004398,25.1814117431641
bootstrap_package,1e+05,0.195490705998964,193.650741577148
bootstrap_base,1e+05,0.191265102501347,139.88508605957
svm_package,1e+05,0.00636143699739478,0.567153930664062
svm_base,1e+05,0.0897389960009605,0
Metropolis_Hastings,1e+05,0.497551974003727,301.063056945801
MCMC_stan,1e+05,1.09026947849998,81.7988128662109
loop_sum,1e+06,0.0112185020007018,0
loop_geom_mean,1e+06,0.0252448889987136,0
vectorized_geom_mean,1e+06,0.00509867800064967,7.62944030761719
matrix_multiplication,1e+06,0.337046814001951,7.62944030761719
matrix_inversion,1e+06,0.520839297500061,22.9227676391602
linear_regression_package,1e+06,0.669291564499872,614.540084838867
linear_regression_base,1e+06,0.216487318499276,251.774429321289
bootstrap_package,1e+06,2.43712657149808,1935.32726287842
bootstrap_base,1e+06,1.954488080999,1398.84962463379
svm_package,1e+06,0.0359428960000514,1.77213287353516
svm_base,1e+06,0.295947184000397,0
Metropolis_Hastings,1e+06,4.98595223099983,3009.66128540039
MCMC_stan,1e+06,10.8284027234986,811.702850341797